
Processing CalculateEfficincy.C...
Particle        :   Eff1  /   Eff2  /   Eff3  /  Ghost  / BackGr  / N Ghost / N BackGr / N Reco  / N Clone  |  N MC1  |  N MC2  |  N MC3 
Xi*-_XiPi       : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Xi*-_XiPi Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Xi*-_XiPi Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Xi*+_XiPi       : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Xi*+_XiPi Prim  : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Xi*+_XiPi Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Omega*-         :  0.157  / -1.000  /  0.389  /  0.000  /  0.000  /      0  /       0  /     56  /       0  |    356  |      0  |    144
Omega*-   Prim  :  0.157  / -1.000  /  0.389  /  0.000  /  0.000  /      0  /       0  /     56  /       0  |    356  |      0  |    144
Omega*-   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Omega*+         :  0.152  / -1.000  /  0.417  /  0.000  /  0.000  /      0  /       0  /     55  /       0  |    363  |      0  |    132
Omega*+   Prim  :  0.152  / -1.000  /  0.417  /  0.000  /  0.000  /      0  /       0  /     55  /       0  |    363  |      0  |    132
Omega*+   Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
Hdb             :  0.143  / -1.000  /  0.330  /  0.000  /  0.000  /      0  /       0  /     35  /       0  |    245  |      0  |    106
Hdb       Prim  :  0.143  / -1.000  /  0.330  /  0.000  /  0.000  /      0  /       0  /     35  /       0  |    245  |      0  |    106
Hdb       Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
phi_kk          :  0.694  / -1.000  /  0.863  /  0.000  /  0.655  /      0  /    1156  /    609  /       0  |    878  |      0  |    706
phi_kk    Prim  :  0.694  / -1.000  /  0.863  /  0.000  /  0.000  /      0  /       0  /    609  /       0  |    878  |      0  |    706
phi_kk    Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
rho_pipi        :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    780  |      0  |    626
rho_pipi  Prim  :  0.000  / -1.000  /  0.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |    780  |      0  |    626
rho_pipi  Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
rho_ee          :  0.444  / -1.000  /  0.606  /  0.000  /  0.557  /      0  /     382  /    304  /       0  |    684  |      0  |    502
rho_ee    Prim  :  0.444  / -1.000  /  0.606  /  0.000  /  0.000  /      0  /       0  /    304  /       0  |    684  |      0  |    502
rho_ee    Sec   : -1.000  / -1.000  / -1.000  / -1.000  / -1.000  /      0  /       0  /      0  /       0  |      0  |      0  |      0
rho_mm          :  0.341  / -1.000  /  0.443  /  0.000  /  0.615  /      0  /     413  /    258  /       0  |    756  |      0  |    582
