iDigi, layerId, moduleId, iSector, secCol, secRow, digiAddress
196926,6,4,2,65,4,1091109989
197089,6,4,2,65,5,1091241061
197255,6,4,2,65,6,1091372133
197419,6,4,2,65,7,1091503205
197989,6,4,1,66,0,1107330149
198866,6,4,2,66,1,1107493989
199326,6,4,2,66,2,1107625061
199683,6,4,2,66,3,1107756133
199878,6,4,2,66,4,1107887205
200046,6,4,2,66,5,1108018277
200217,6,4,2,66,6,1108149349
200387,6,4,2,66,7,1108280421
200958,6,4,1,67,0,1124107365
201858,6,4,2,67,1,1124271205
202325,6,4,2,67,2,1124402277
202681,6,4,2,67,3,1124533349
202880,6,4,2,67,4,1124664421
203052,6,4,2,67,5,1124795493
203229,6,4,2,67,6,1124926565
203400,6,4,2,67,7,1125057637
203975,6,4,1,68,0,1140884581
204629,6,4,1,68,1,1141015653
205156,6,4,1,68,2,1141146725
205516,6,4,1,68,3,1141277797
205899,6,4,2,68,4,1141441637
206063,6,4,2,68,5,1141572709
206233,6,4,2,68,6,1141703781
206399,6,4,2,68,7,1141834853
206968,6,4,1,69,0,1157661797
207607,6,4,1,69,1,1157792869
208127,6,4,1,69,2,1157923941
208487,6,4,1,69,3,1158055013
208857,6,4,2,69,4,1158218853
209018,6,4,2,69,5,1158349925
209187,6,4,2,69,6,1158480997
209353,6,4,2,69,7,1158612069
209924,6,4,1,70,0,1174439013
210591,6,4,1,70,1,1174570085
211125,6,4,1,70,2,1174701157
211487,6,4,1,70,3,1174832229
211865,6,4,2,70,4,1174996069
212030,6,4,2,70,5,1175127141
212203,6,4,2,70,6,1175258213
212379,6,4,2,70,7,1175389285
212955,6,4,1,71,0,1191216229
213628,6,4,1,71,1,1191347301
214169,6,4,1,71,2,1191478373
214539,6,4,1,71,3,1191609445
215447,6,4,2,71,7,1192166501
216033,6,4,1,72,0,1207993445
216704,6,4,1,72,1,1208124517
217238,6,4,1,72,2,1208255589
217600,6,4,1,72,3,1208386661
218489,6,4,2,72,7,1208943717
219084,6,4,1,73,0,1224770661
219774,6,4,1,73,1,1224901733
220324,6,4,1,73,2,1225032805
220695,6,4,1,73,3,1225163877
221074,6,4,2,73,4,1225327717
221293,6,4,0,73,6,1225524325
221456,6,4,0,73,7,1225655397
221983,6,4,0,74,0,1241515109
222165,6,4,1,74,0,1241547877
222873,6,4,1,74,1,1241678949
223440,6,4,1,74,2,1241810021
223817,6,4,1,74,3,1241941093
224201,6,4,2,74,4,1242104933
224409,6,4,0,74,6,1242301541
224565,6,4,0,74,7,1242432613
225257,6,4,1,75,0,1258325093
225949,6,4,1,75,1,1258456165
226502,6,4,1,75,2,1258587237
226863,6,4,1,75,3,1258718309
227236,6,4,2,75,4,1258882149
227442,6,4,0,75,6,1259078757
227596,6,4,0,75,7,1259209829
228308,6,4,1,76,0,1275102309
229019,6,4,1,76,1,1275233381
229581,6,4,1,76,2,1275364453
229944,6,4,1,76,3,1275495525
230317,6,4,2,76,4,1275659365
230528,6,4,0,76,6,1275855973
230690,6,4,0,76,7,1275987045
231406,6,4,1,77,0,1291879525
232098,6,4,1,77,1,1292010597
232647,6,4,1,77,2,1292141669
232995,6,4,1,77,3,1292272741
233352,6,4,2,77,4,1292436581
233544,6,4,0,77,6,1292633189
233689,6,4,0,77,7,1292764261
234347,6,4,1,78,0,1308656741
235003,6,4,1,78,1,1308787813
235520,6,4,1,78,2,1308918885
236213,6,4,0,78,5,1309279333
236339,6,4,0,78,6,1309410405
236465,6,4,0,78,7,1309541477
237063,6,4,1,79,0,1325433957
237676,6,4,1,79,1,1325565029
238163,6,4,1,79,2,1325696101
238794,6,4,0,79,5,1326056549
238908,6,4,0,79,6,1326187621
239018,6,4,0,79,7,1326318693
