iDigi, layerId, moduleId, iSector, secCol, secRow, digiAddress
77609,3,1,1,25,8,420512053
77725,3,1,1,25,9,420643125
77826,3,1,1,25,10,420774197
77900,3,1,1,25,11,420905269
78104,3,1,1,26,0,436240693
81112,3,1,1,27,0,453017909
84175,3,1,1,28,0,469795125
87253,3,1,1,29,0,486572341
90399,3,1,1,30,0,503349557
93493,3,1,1,31,0,520126773
96647,3,1,1,32,0,536903989
99104,3,1,1,32,7,537821493
99242,3,1,1,32,8,537952565
99361,3,1,1,32,9,538083637
99471,3,1,1,32,10,538214709
99546,3,1,1,32,11,538345781
99766,3,1,1,33,0,553681205
102254,3,1,1,33,7,554598709
102390,3,1,1,33,8,554729781
102506,3,1,1,33,9,554860853
102602,3,1,1,33,10,554991925
102670,3,1,1,33,11,555122997
102886,3,1,1,34,0,570458421
105313,3,1,1,34,7,571375925
105445,3,1,1,34,8,571506997
105557,3,1,1,34,9,571638069
105656,3,1,1,34,10,571769141
105726,3,1,1,34,11,571900213
105953,3,1,1,35,0,587235637
108400,3,1,1,35,7,588153141
108535,3,1,1,35,8,588284213
108649,3,1,1,35,9,588415285
108749,3,1,1,35,10,588546357
108818,3,1,1,35,11,588677429
109047,3,1,1,36,0,604012853
111523,3,1,1,36,7,604930357
111658,3,1,1,36,8,605061429
111777,3,1,1,36,9,605192501
111880,3,1,1,36,10,605323573
111946,3,1,1,36,11,605454645
114582,3,1,1,37,7,621707573
114717,3,1,1,37,8,621838645
114840,3,1,1,37,9,621969717
114947,3,1,1,37,10,622100789
115017,3,1,1,37,11,622231861
117635,3,1,1,38,7,638484789
117767,3,1,1,38,8,638615861
117888,3,1,1,38,9,638746933
117992,3,1,1,38,10,638878005
118061,3,1,1,38,11,639009077
120877,3,1,1,39,8,655393077
120998,3,1,1,39,9,655524149
121104,3,1,1,39,10,655655221
121172,3,1,1,39,11,655786293
124055,3,1,1,40,8,672170293
124182,3,1,1,40,9,672301365
124295,3,1,1,40,10,672432437
124369,3,1,1,40,11,672563509
127236,3,1,1,41,8,688947509
127353,3,1,1,41,9,689078581
127456,3,1,1,41,10,689209653
127527,3,1,1,41,11,689340725
130308,3,1,1,42,8,705724725
130424,3,1,1,42,9,705855797
130524,3,1,1,42,10,705986869
130592,3,1,1,42,11,706117941
133419,3,1,1,43,8,722501941
133546,3,1,1,43,9,722633013
133653,3,1,1,43,10,722764085
133725,3,1,1,43,11,722895157
136574,3,1,1,44,8,739279157
136700,3,1,1,44,9,739410229
136807,3,1,1,44,10,739541301
136884,3,1,1,44,11,739672373
139821,3,1,1,45,8,756056373
139952,3,1,1,45,9,756187445
140065,3,1,1,45,10,756318517
140144,3,1,1,45,11,756449589
143022,3,1,1,46,8,772833589
143159,3,1,1,46,9,772964661
143277,3,1,1,46,10,773095733
143358,3,1,1,46,11,773226805
146253,3,1,1,47,8,789610805
146384,3,1,1,47,9,789741877
146498,3,1,1,47,10,789872949
146577,3,1,1,47,11,790004021
176933,3,1,1,57,11,957776181
179904,3,1,1,58,11,974553397
182906,3,1,1,59,11,991330613
185963,3,1,1,60,11,1008107829
188957,3,1,1,61,11,1024885045
192006,3,1,1,62,11,1041662261
195118,3,1,1,63,11,1058439477
201191,3,1,1,65,10,1091862837
201259,3,1,1,65,11,1091993909
201475,3,1,1,66,0,1107329333
202210,3,1,1,66,1,1107460405
202797,3,1,1,66,2,1107591477
203169,3,1,1,66,3,1107722549
203500,3,1,1,66,4,1107853621
203661,3,1,1,66,5,1107984693
203823,3,1,1,66,6,1108115765
203981,3,1,1,66,7,1108246837
204339,3,1,1,66,10,1108640053
204409,3,1,1,66,11,1108771125
204623,3,1,1,67,0,1124106549
205362,3,1,1,67,1,1124237621
205957,3,1,1,67,2,1124368693
206342,3,1,1,67,3,1124499765
206681,3,1,1,67,4,1124630837
206840,3,1,1,67,5,1124761909
207004,3,1,1,67,6,1124892981
207160,3,1,1,67,7,1125024053
207523,3,1,1,67,10,1125417269
207595,3,1,1,67,11,1125548341
207812,3,1,1,68,0,1140883765
208534,3,1,1,68,1,1141014837
209121,3,1,1,68,2,1141145909
209504,3,1,1,68,3,1141276981
209843,3,1,1,68,4,1141408053
210007,3,1,1,68,5,1141539125
210171,3,1,1,68,6,1141670197
210331,3,1,1,68,7,1141801269
210697,3,1,1,68,10,1142194485
210768,3,1,1,68,11,1142325557
210990,3,1,1,69,0,1157660981
211716,3,1,1,69,1,1157792053
212291,3,1,1,69,2,1157923125
212663,3,1,1,69,3,1158054197
212982,3,1,1,69,4,1158185269
213146,3,1,1,69,5,1158316341
213303,3,1,1,69,6,1158447413
213456,3,1,1,69,7,1158578485
