iDigi, layerId, moduleId, iSector, secCol, secRow, digiAddress
87995,3,1,1,29,5,487227701
88166,3,1,1,29,6,487358773
88328,3,1,1,29,7,487489845
88471,3,1,1,29,8,487620917
90258,3,1,1,30,2,503611701
90625,3,1,1,30,3,503742773
90957,3,1,1,30,4,503873845
91127,3,1,1,30,5,504004917
91305,3,1,1,30,6,504135989
91472,3,1,1,30,7,504267061
91617,3,1,1,30,8,504398133
93390,3,1,1,31,2,520388917
93751,3,1,1,31,3,520519989
94073,3,1,1,31,4,520651061
94232,3,1,1,31,5,520782133
94401,3,1,1,31,6,520913205
94563,3,1,1,31,7,521044277
94707,3,1,1,31,8,521175349
104409,3,1,1,35,0,587235637
105092,3,1,1,35,1,587366709
105645,3,1,1,35,2,587497781
106003,3,1,1,35,3,587628853
106309,3,1,1,35,4,587759925
107399,3,1,1,36,0,604012853
108068,3,1,1,36,1,604143925
108605,3,1,1,36,2,604274997
108964,3,1,1,36,3,604406069
109277,3,1,1,36,4,604537141
110372,3,1,1,37,0,620790069
111068,3,1,1,37,1,620921141
111621,3,1,1,37,2,621052213
111982,3,1,1,37,3,621183285
112294,3,1,1,37,4,621314357
113377,3,1,1,38,0,637567285
114063,3,1,1,38,1,637698357
114603,3,1,1,38,2,637829429
114955,3,1,1,38,3,637960501
115266,3,1,1,38,4,638091573
116336,3,1,1,39,0,654344501
117058,3,1,1,39,1,654475573
117616,3,1,1,39,2,654606645
117984,3,1,1,39,3,654737717
118306,3,1,1,39,4,654868789
119421,3,1,1,40,0,671121717
120151,3,1,1,40,1,671252789
120723,3,1,1,40,2,671383861
121100,3,1,1,40,3,671514933
121432,3,1,1,40,4,671646005
122542,3,1,1,41,0,687898933
123245,3,1,1,41,1,688030005
123797,3,1,1,41,2,688161077
124168,3,1,1,41,3,688292149
124488,3,1,1,41,4,688423221
125127,3,1,1,41,8,688947509
125249,3,1,1,41,9,689078581
125353,3,1,1,41,10,689209653
125422,3,1,1,41,11,689340725
128196,3,1,1,42,8,705724725
128318,3,1,1,42,9,705855797
128419,3,1,1,42,10,705986869
128487,3,1,1,42,11,706117941
131260,3,1,1,43,8,722501941
131382,3,1,1,43,9,722633013
131483,3,1,1,43,10,722764085
131555,3,1,1,43,11,722895157
134277,3,1,1,44,8,739279157
134394,3,1,1,44,9,739410229
134493,3,1,1,44,10,739541301
134563,3,1,1,44,11,739672373
137266,3,1,1,45,8,756056373
137388,3,1,1,45,9,756187445
137487,3,1,1,45,10,756318517
137558,3,1,1,45,11,756449589
140292,3,1,1,46,8,772833589
140413,3,1,1,46,9,772964661
140511,3,1,1,46,10,773095733
140579,3,1,1,46,11,773226805
140792,3,1,1,47,0,788562229
141482,3,1,1,47,1,788693301
142035,3,1,1,47,2,788824373
143384,3,1,1,47,8,789610805
143507,3,1,1,47,9,789741877
143610,3,1,1,47,10,789872949
143679,3,1,1,47,11,790004021
143887,3,1,1,48,0,805339445
144553,3,1,1,48,1,805470517
145085,3,1,1,48,2,805601589
146398,3,1,1,48,8,806388021
146519,3,1,1,48,9,806519093
146616,3,1,1,48,10,806650165
