iDigi, layerId, moduleId, iSector, secCol, secRow, digiAddress
97576,3,1,1,33,1,553812277
100028,3,1,1,34,0,570458421
100700,3,1,1,34,1,570589493
103105,3,1,1,35,0,587235637
103804,3,1,1,35,1,587366709
105638,3,1,1,35,8,588284213
105774,3,1,1,35,9,588415285
105893,3,1,1,35,10,588546357
105972,3,1,1,35,11,588677429
106195,3,1,1,36,0,604012853
106901,3,1,1,36,1,604143925
108792,3,1,1,36,8,605061429
108924,3,1,1,36,9,605192501
109039,3,1,1,36,10,605323573
109119,3,1,1,36,11,605454645
109348,3,1,1,37,0,620790069
110073,3,1,1,37,1,620921141
111020,3,1,1,37,3,621183285
111348,3,1,1,37,4,621314357
111524,3,1,1,37,5,621445429
111688,3,1,1,37,6,621576501
111858,3,1,1,37,7,621707573
112013,3,1,1,37,8,621838645
112151,3,1,1,37,9,621969717
112272,3,1,1,37,10,622100789
112355,3,1,1,37,11,622231861
112582,3,1,1,38,0,637567285
113295,3,1,1,38,1,637698357
114228,3,1,1,38,3,637960501
114552,3,1,1,38,4,638091573
114720,3,1,1,38,5,638222645
114882,3,1,1,38,6,638353717
115047,3,1,1,38,7,638484789
115196,3,1,1,38,8,638615861
115329,3,1,1,38,9,638746933
115442,3,1,1,38,10,638878005
115518,3,1,1,38,11,639009077
115730,3,1,1,39,0,654344501
116420,3,1,1,39,1,654475573
116964,3,1,1,39,2,654606645
117329,3,1,1,39,3,654737717
117647,3,1,1,39,4,654868789
117813,3,1,1,39,5,654999861
117974,3,1,1,39,6,655130933
118135,3,1,1,39,7,655262005
118282,3,1,1,39,8,655393077
118409,3,1,1,39,9,655524149
118515,3,1,1,39,10,655655221
118588,3,1,1,39,11,655786293
118798,3,1,1,40,0,671121717
119467,3,1,1,40,1,671252789
119996,3,1,1,40,2,671383861
120358,3,1,1,40,3,671514933
120679,3,1,1,40,4,671646005
120843,3,1,1,40,5,671777077
121005,3,1,1,40,6,671908149
121164,3,1,1,40,7,672039221
121311,3,1,1,40,8,672170293
121438,3,1,1,40,9,672301365
121541,3,1,1,40,10,672432437
121614,3,1,1,40,11,672563509
121821,3,1,1,41,0,687898933
122462,3,1,1,41,1,688030005
122968,3,1,1,41,2,688161077
123314,3,1,1,41,3,688292149
123619,3,1,1,41,4,688423221
123772,3,1,1,41,5,688554293
123922,3,1,1,41,6,688685365
124067,3,1,1,41,7,688816437
124202,3,1,1,41,8,688947509
124320,3,1,1,41,9,689078581
124417,3,1,1,41,10,689209653
124488,3,1,1,41,11,689340725
124695,3,1,1,42,0,704676149
125328,3,1,1,42,1,704807221
125839,3,1,1,42,2,704938293
126186,3,1,1,42,3,705069365
126497,3,1,1,42,4,705200437
126654,3,1,1,42,5,705331509
126812,3,1,1,42,6,705462581
126960,3,1,1,42,7,705593653
127099,3,1,1,42,8,705724725
127221,3,1,1,42,9,705855797
127590,3,1,1,43,0,721453365
128224,3,1,1,43,1,721584437
128736,3,1,1,43,2,721715509
129085,3,1,1,43,3,721846581
129394,3,1,1,43,4,721977653
129553,3,1,1,43,5,722108725
129712,3,1,1,43,6,722239797
129860,3,1,1,43,7,722370869
129999,3,1,1,43,8,722501941
